geo,year,gdp,pop,employment_rate,NUTS_NAME,CNTR_CODE,dominant_class,dominant_koppen,pct_Dfb,pct_Dfc,pct_ET,pct_Cfb,pct_BSk,pct_EF,pct_BSh,pct_Csa,pct_Csb,pct_Dsb,pct_Cfa,pct_Dsc,pct_BWk,pct_Dfa,pct_Af,pct_Am,pct_Aw,pct_Dsa,pct_Cfc,pct_BWh,pct_Csc,nights_spent
DE71,2000,37800.0,3719354.0,71.4,Darmstadt,DE,15.0,Cfb,0.0101484635884676,4.121875695507974e-06,0.0,0.9898515697882472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13134017.0
DE72,2000,23000.0,1063503.0,68.5,Gießen,DE,15.0,Cfb,0.0582094228146544,0.0,0.0,0.9417905771853458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1943009.0
DE73,2000,23600.0,1269109.0,68.6,Kassel,DE,15.0,Cfb,0.087795185049341,0.0002768590262745,0.0,0.9122048156719784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6416961.0
DE80,2000,16500.0,1789322.0,64.5,Mecklenburg-Vorpommern,DE,15.0,Cfb,0.002681831863574,0.0,0.0,0.9973181681364256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18600475.0
DE91,2000,27500.0,1669634.0,66.0,Braunschweig,DE,15.0,Cfb,0.0867850169683867,0.0045126053342154,0.0,0.910290176866455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6262588.0
DE92,2000,25500.0,2152759.0,68.6,Hannover,DE,15.0,Cfb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5444548.0
DE93,2000,18200.0,1660653.0,68.6,Lüneburg,DE,15.0,Cfb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8577872.0
DE94,2000,22300.0,2415714.0,68.4,Weser-Ems,DE,15.0,Cfb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13780863.0
DEA1,2000,28200.0,5264468.0,65.3,Düsseldorf,DE,15.0,Cfb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7680540.0
DEA2,2000,29600.0,4263675.0,66.9,Köln,DE,15.0,Cfb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9081521.0
DEA3,2000,21800.0,2608779.0,66.1,Münster,DE,15.0,Cfb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3418028.0
DEA4,2000,25100.0,2048620.0,70.3,Detmold,DE,15.0,Cfb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3976332.0
DEA5,2000,22600.0,3814258.0,64.7,Arnsberg,DE,15.0,Cfb,0.1305708953110066,0.0005712308349815,0.0,0.8694291245116801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7667116.0
DEC0,2000,23900.0,1071501.0,64.1,Saarland,DE,15.0,Cfb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307415.0
DED2,2000,17500.0,1724703.0,66.5,Dresden,DE,15.0,Cfb,0.3418283385713858,0.0004166620042329,0.0,0.6581717058734927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6042081.0
DED4,2000,16100.0,,,Chemnitz,DE,26.0,Dfb,0.7303708137255683,0.0070869495511202,0.0,0.2652248453461613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4097848.0
DED5,2000,18500.0,,,Leipzig,DE,15.0,Cfb,0.0026818275002935,0.0,0.0,0.997035046841866,0.0002627627167586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2220557.0
DEE0,2000,16200.0,2648737.0,62.0,Sachsen-Anhalt,DE,15.0,Cfb,0.0417010505868343,0.0002367669703725,0.0,0.9538922970591204,0.0050679068093667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4717730.0
DEF0,2000,23100.0,2777275.0,69.8,Schleswig-Holstein,DE,15.0,Cfb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20138693.0
DEG0,2000,16300.0,2449082.0,68.9,Thüringen,DE,15.0,Cfb,0.4017233651608243,0.0012682198764214,0.0,0.5965554593966071,0.0015581283236456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7280775.0
DK01,2000,40400.0,,,Hovedstaden,DK,15.0,Cfb,0.0026819968225696,0.0,0.0,0.9973180031774306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6227161.0
DK02,2000,23800.0,,,Sjælland,DK,15.0,Cfb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2795618.0
DK03,2000,29900.0,,,Syddanmark,DK,15.0,Cfb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7030113.0
DK04,2000,31000.0,,,Midtjylland,DK,15.0,Cfb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4355143.0
DK05,2000,28800.0,,,Nordjylland,DK,15.0,Cfb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4756910.0
